YUV,SETTING,QP,OPT,Y-PSNR,U-PSNR,V-PSNR,YUV-PSNR,BITRATE,TOTAL TIME
RaceHorses_832x480_30fps_8bit,32framelimt_RA,22,OPT,38.9864,41.2794,42.5049,39.5125,4815.3450,7583.213
RaceHorses_832x480_30fps_8bit,32framelimt_RA,27,OPT,35.6048,39.0033,40.2672,36.3861,2001.3300,4298.444
RaceHorses_832x480_30fps_8bit,32framelimt_RA,32,OPT,32.7224,37.2036,38.4850,33.7080,943.7925,3825.554
RaceHorses_832x480_30fps_8bit,32framelimt_RA,37,OPT,29.8845,35.8217,36.7464,31.0505,439.2450,2477.519
RitualDance_1920x1080_60fps_10bit,32framelimt_RA,22,OPT,46.4598,48.5909,49.2897,47.0153,8123.2950,15443.327
RitualDance_1920x1080_60fps_10bit,32framelimt_RA,27,OPT,43.2574,46.1928,46.4297,43.8625,4111.0050,8753.989
RitualDance_1920x1080_60fps_10bit,32framelimt_RA,32,OPT,40.1562,44.4327,44.2698,40.9295,2239.0350,5849.891
RitualDance_1920x1080_60fps_10bit,32framelimt_RA,37,OPT,37.0587,42.3112,42.4983,37.9679,1200.9300,3526.959
SlideShow_1280x720_20fps_8bit,32framelimt_RA,22,OPT,50.6233,53.5218,54.6482,49.6170,458.8150,1502.266
SlideShow_1280x720_20fps_8bit,32framelimt_RA,27,OPT,46.9571,50.4084,51.7081,46.5916,282.1850,1057.334
SlideShow_1280x720_20fps_8bit,32framelimt_RA,32,OPT,44.1079,48.5208,49.5587,44.0304,194.8950,763.414
SlideShow_1280x720_20fps_8bit,32framelimt_RA,37,OPT,41.1534,45.2976,47.7904,41.2031,137.9500,584.131
